iter	RMSE
176	4.85698476
177	4.855019121
178	4.849544705
179	4.846031569
180	4.843816884
181	4.840908786
182	4.837651471
183	4.832254992
184	4.826582242
185	4.825575654
186	4.818168837
187	4.812837316
188	4.809134548
189	4.805671491
190	4.800616406
191	4.796942106
192	4.794625239
193	4.789214374
194	4.787332435
195	4.781315495
196	4.777732723
197	4.769405435
198	4.765522524
199	4.763884408
200	4.757676954
201	4.75606311
202	4.750956624
203	4.745792937
204	4.74405915
205	4.738385957
206	4.735445185
207	4.733043567
208	4.729710935
209	4.728592877
210	4.725971037
211	4.722002418
212	4.719377126
213	4.715057864
214	4.711428337
215	4.710334307
216	4.70893186
217	4.705834068
218	4.70329273
219	4.701018454
220	4.696684987
221	4.690953204
222	4.686183382
223	4.682436039
224	4.678175276
225	4.676829524
226	4.672394665
227	4.666283735
228	4.66144055
229	4.658723237
230	4.653571614
231	4.651370765
232	4.646276072
233	4.644325846
234	4.644196963
235	4.638457271
236	4.637106678
237	4.633517762
238	4.630795725
239	4.6295925
240	4.626925525
241	4.622941945
242	4.621244636
243	4.618000828
244	4.615209282
245	4.613166944
246	4.609814601
247	4.608392669
248	4.606333172
249	4.602090768
250	4.598778535
251	4.597642982
252	4.595131699
253	4.592942305
254	4.587981542
255	4.583314793
256	4.577851891
257	4.574903787
258	4.570573161
259	4.56373747
260	4.562698629
261	4.558155132
262	4.553092009
263	4.54905771
264	4.548037385
265	4.543604095
266	4.540448575
267	4.536381743
268	4.531331083
269	4.529536335
270	4.524347762
271	4.523098548
272	4.521714908
273	4.518184909
274	4.515623859
275	4.511919252
276	4.50763317
277	4.503738935
278	4.49856714
279	4.494615315
280	4.486903
281	4.484498389
282	4.483342881
283	4.481416888
284	4.473989856
285	4.47053636
286	4.468360732
287	4.463086482
288	4.462112704
289	4.461045709
290	4.457359665
291	4.455662569
292	4.45166053
293	4.446530975
294	4.442358076
295	4.438593682
296	4.437335636
297	4.436076964
298	4.432289714
299	4.427051117
300	4.421168418
301	4.41801192
302	4.416954652
303	4.411796325
304	4.409042188
305	4.405622753
306	4.400870308
307	4.397313284
308	4.392253975
309	4.389568573
310	4.388648684
311	4.386879759
312	4.383496588
313	4.377696907
314	4.375588451
315	4.370091206
316	4.366739388
317	4.361140023
318	4.36024735
319	4.356821397
320	4.353244586
321	4.350865332
322	4.348274672
323	4.345116678
324	4.342216498
325	4.340377888
326	4.334107278
327	4.328423481
328	4.32659027
329	4.323702225
330	4.32078655
331	4.320009265
332	4.315059205
333	4.311589326
334	4.306319316
335	4.301176539
336	4.29791522
337	4.294692788
338	4.293292452
339	4.292034531
340	4.288080995
341	4.28470491
342	4.281574195
343	4.278029463
344	4.276850155
345	4.275875687
346	4.270833708
347	4.267115959
348	4.262011453
349	4.261235318
350	4.256611286
351	4.256044167
352	4.253419077
353	4.251224827
354	4.247041956
355	4.243774214
356	4.242567933
357	4.238693471
358	4.237342667
359	4.235496409
360	4.233461986
361	4.232536817
362	4.230448012
363	4.228411964
364	4.227719112
365	4.223510169
366	4.217447587
367	4.216783962
368	4.212068786
369	4.206547816
370	4.20145966
371	4.198138142
372	4.197445985
373	4.191354037
374	4.187968862
375	4.187119288
376	4.183452132
377	4.180940136
378	4.177015632
379	4.171482721
380	4.170124639
381	4.163488767
382	4.162939736
383	4.162401886
384	4.161353868
385	4.159102526
386	4.152894177
387	4.147137581
388	4.142291999
389	4.138964096
390	4.136219454
391	4.132768153
392	4.130736423
393	4.128070873
394	4.125146833
395	4.120649119
396	4.117851297
397	4.113965255
398	4.113344487
399	4.111873881
400	4.111429471
401	4.107656592
402	4.105544566
403	4.102734849
404	4.099294584
405	4.096058668
406	4.094294295
407	4.09213193
408	4.088804703
409	4.088222267
410	4.0869463
411	4.084674925
412	4.080819143
413	4.076243489
414	4.074053726
415	4.07098125
416	4.068662624
417	4.063773448
418	4.05949367
419	4.058545143
420	4.055764884
421	4.053802719
422	4.050384986
423	4.046147288
424	4.043395258
425	4.041120306
426	4.036467009
427	4.033705133
428	4.032824357
429	4.031878428
430	4.030333876
431	4.029890757
432	4.02772158
433	4.023709319
434	4.022010823
435	4.021366455
436	4.019499069
437	4.015360311
438	4.00938889
439	4.008438704
440	4.003063868
441	3.997075836
442	3.992898302
443	3.990878342
444	3.987783455
445	3.987265694
446	3.98438621
447	3.980897158
448	3.980389444
449	3.977933829
450	3.973235358
451	3.970542535
452	3.966372814
453	3.96305335
454	3.959501525
455	3.95544885
456	3.954670754
457	3.952968879
458	3.949580296
459	3.945749905
460	3.943654944
461	3.938603885
462	3.935312256
463	3.933333537
464	3.932816317
465	3.927249739
466	3.925594284
467	3.922652512
468	3.917249123
469	3.916844042
470	3.914112829
471	3.911546524
472	3.911183254
473	3.909988133
474	3.908616118
475	3.904422853
476	3.902427764
477	3.896981212
478	3.896440747
479	3.893143057
480	3.890415772
481	3.889713039
482	3.885398633
483	3.880020754
484	3.877140791
485	3.874868202
486	3.874298097
487	3.873868768
488	3.871764315
489	3.868864747
490	3.864271497
491	3.863558752
492	3.86105522
493	3.860803205
494	3.854626897
495	3.853580809
496	3.849875688
497	3.846658999
498	3.845667131
499	3.842916941
500	3.839753306
501	3.838998617
502	3.838645145
503	3.835800705
504	3.833713502
505	3.831044905
506	3.828966354
507	3.825634
508	3.823419055
509	3.822779642
510	3.820681384
511	3.817300813
512	3.815962485
513	3.815304038
514	3.813901331
515	3.812429262
516	3.807968943
517	3.805251108
518	3.803605595
519	3.798690539
520	3.796900002
521	3.79663311
522	3.79627563
523	3.794433922
524	3.793678358
525	3.791672185
526	3.791226993
527	3.789588551
528	3.789070571
529	3.787673109
530	3.786315057
531	3.784578714
532	3.784221027
533	3.78384505
534	3.779729328
535	3.778850444
536	3.776132668
537	3.774577642
538	3.772633146
539	3.772278862
540	3.770905517
541	3.76660361
542	3.763791593
543	3.763419322
544	3.762315658
545	3.759672939
546	3.756538081
547	3.756167212
548	3.754515897
549	3.750502032
550	3.747276394
551	3.744314711
552	3.738932111
553	3.735778507
554	3.734288242
555	3.732645735
556	3.729054889
557	3.724737732
558	3.721212178
559	3.717972896
560	3.713593706
561	3.712708595
562	3.708100294
563	3.707271475
564	3.705381793
565	3.704494631
566	3.703564821
567	3.700731506
568	3.699343546
569	3.696953238
570	3.695649043
571	3.695406858
572	3.694697644
573	3.693172697
574	3.690913916
575	3.688230865
576	3.68209468
577	3.681744269
578	3.679659209
579	3.678390414
580	3.677089893
581	3.675323464
582	3.674745776
583	3.670480786
584	3.667736322
585	3.665767057
586	3.665112215
587	3.663034331
588	3.661501378
589	3.660505032
590	3.660162494
591	3.659184505
592	3.656648469
593	3.651496386
594	3.650944525
595	3.650195491
596	3.646896596
597	3.643726002
598	3.64130591
599	3.640261975
600	3.638618916
601	3.637676116
602	3.634964385
603	3.633652628
604	3.63047089
605	3.628472182
606	3.623597749
607	3.621809166
608	3.619413759
609	3.615707099
610	3.615464094
611	3.614483008
612	3.609535559
613	3.606883576
614	3.606613686
615	3.605764201
616	3.60354776
617	3.598875152
618	3.59736603
619	3.593347057
620	3.589525366
621	3.585550494
622	3.582129864
623	3.57999324
624	3.57760207
625	3.577131582
626	3.576612031
627	3.572407432
628	3.571411245
629	3.571116753
630	3.569632183
631	3.567098418
632	3.566723872
633	3.562590124
634	3.558363576
635	3.5547572
636	3.554459042
637	3.553027306
638	3.552749181
639	3.551991164
640	3.550210842
641	3.547004448
642	3.54577423
643	3.542095247
644	3.541156783
645	3.539013196
646	3.535767279
647	3.534246738
648	3.530447634
649	3.527753059
650	3.523687498
651	3.523562269
652	3.519893926
653	3.516231923
654	3.515952296
655	3.511803698
656	3.509888934
657	3.506436762
658	3.501540245
659	3.500377638
660	3.499708581
661	3.499234098
662	3.49651877
663	3.491804656
664	3.490994555
665	3.488652898
666	3.488385986
667	3.487269124
668	3.485089238
669	3.481695837
670	3.481379443
671	3.478411693
672	3.477933428
673	3.475846303
674	3.474261004
675	3.473478788
676	3.469890114
677	3.468945583
678	3.467972974
679	3.466726391
680	3.464605623
681	3.46287681
682	3.461396232
683	3.460719765
684	3.46020431
685	3.458841197
686	3.456943366
687	3.451886027
688	3.449881345
689	3.44910004
690	3.448016538
691	3.445728958
692	3.444287163
693	3.440081058
694	3.438179327
695	3.43648876
696	3.435981447
697	3.435170397
698	3.432201914
699	3.428963657
700	3.428721215
701	3.427959242
702	3.424239785
703	3.422718673
704	3.420993684
705	3.420716876
706	3.419199586
707	3.416143469
708	3.415746294
709	3.413035361
710	3.411135602
711	3.408477153
712	3.406717898
713	3.406421144
714	3.405148468
715	3.402994927
716	3.402752818
717	3.402341384
718	3.400502329
719	3.400253547
720	3.39789244
721	3.396533167
722	3.394557483
723	3.39298326
724	3.389028073
725	3.387938034
726	3.384099066
727	3.381739342
728	3.380146246
729	3.379126457
730	3.374698659
731	3.374207928
732	3.372973964
733	3.370260802
734	3.370069934
735	3.3661602
736	3.364961022
737	3.364352379
738	3.363772734
739	3.363337327
740	3.361720854
741	3.36073644
742	3.3568558
743	3.352964497
744	3.352101581
745	3.34837306
746	3.347059437
747	3.345262399
748	3.343191279
749	3.341360313
750	3.340201328
751	3.337757079
752	3.336708659
753	3.334393706
754	3.333812375
755	3.332635249
756	3.329355704
757	3.327220475
758	3.326364532
759	3.326146825
760	3.324150692
761	3.32050071
762	3.317404339
763	3.316022593
764	3.314862372
765	3.31218828
766	3.310509882
767	3.308757886
768	3.308568142
769	3.308317618
770	3.308139392
771	3.305510901
772	3.304791455
773	3.30295
774	3.30110688
775	3.298615457
776	3.294801173
777	3.29338718
778	3.290512333
779	3.288714899
780	3.286046253
781	3.284998884
782	3.283979554
783	3.282768427
784	3.280058721
785	3.277996526
786	3.277793896
787	3.275588312
788	3.272236162
789	3.270824712
790	3.269950671
791	3.267778914
792	3.267567211
793	3.267214109
794	3.264189323
795	3.263162416
796	3.260589209
797	3.25641204
798	3.254275309
799	3.253743624
800	3.251916557
801	3.249926845
802	3.248939222
803	3.248196129
804	3.247242127
805	3.245884608
806	3.242970012
807	3.241858307
808	3.237405219
809	3.235457338
810	3.23501157
811	3.231788977
812	3.230138073
813	3.229863927
814	3.227007863
815	3.226202306
816	3.224940339
817	3.223894476
818	3.221431642
819	3.220236732
820	3.219353627
821	3.216420182
822	3.213721215
823	3.212529213
824	3.210558142
825	3.20539194
826	3.204475426
827	3.203621796
828	3.200913743
829	3.197216132
830	3.196182034
831	3.19328512
832	3.192483566
833	3.191138335
834	3.19027309
835	3.187957326
836	3.186101144
837	3.185284125
838	3.18516985
839	3.181687739
840	3.181279898
841	3.178846887
842	3.177911714
843	3.177099264
844	3.175807607
845	3.175462832
846	3.172285498
847	3.171775414
848	3.168712937
849	3.166110985
850	3.164041421
851	3.161116886
852	3.160267124
853	3.159510028
854	3.159408744
855	3.158598205
856	3.153530566
857	3.152836469
858	3.152662695
859	3.15161564
860	3.150090525
861	3.147942083
862	3.146024414
863	3.143487368
864	3.141162983
865	3.140190575
866	3.140042039
867	3.13798341
868	3.137018043
869	3.136217025
870	3.133958511
871	3.132891016
872	3.130285095
873	3.129618715
874	3.127378126
875	3.123819928
876	3.120220005
877	3.118713382
878	3.117595522
879	3.115469865
880	3.114897457
881	3.114220514
882	3.110810109
883	3.107611046
884	3.106970307
885	3.106006569
886	3.105365862
887	3.104106255
888	3.103467699
889	3.100383361
890	3.099317457
891	3.097790263
892	3.096348947
893	3.095432677
894	3.094219685
895	3.092603482
896	3.09133376
897	3.089232108
898	3.086835944
899	3.083953658
900	3.08374951
901	3.081766114
902	3.081586196
903	3.07983061
904	3.078783856
905	3.078097289
906	3.077596108
907	3.074649979
908	3.074395019
909	3.071280287
910	3.069158654
911	3.064504882
912	3.060207791
913	3.059040952
914	3.058289015
915	3.056089017
916	3.054281257
917	3.054086218
918	3.051673918
919	3.051507798
920	3.051341659
921	3.049568108
922	3.047721321
923	3.045662302
924	3.045460616
925	3.041719019
926	3.040974165
927	3.039799943
928	3.039321987
929	3.039119044
930	3.038873332
931	3.038717293
932	3.036876658
933	3.034410395
934	3.031823353
935	3.031388657
936	3.030873351
937	3.027723123
938	3.026248163
939	3.025237146
940	3.023506574
941	3.02182172
942	3.02099953
943	3.020136947
944	3.019098401
945	3.018269066
946	3.017615359
947	3.017488609
948	3.016765736
949	3.013830441
950	3.013104661
951	3.01151031
952	3.01094528
953	3.008994899
954	3.008727062
955	3.007908743
956	3.005928166
957	3.005815229
958	3.003987621
959	3.000436346
960	2.998836943
961	2.997962424
962	2.997266925
963	2.995134145
964	2.993891952
965	2.99341429
966	2.990919681
967	2.988674765
968	2.986959979
969	2.984714127
970	2.982817993
971	2.982264964
972	2.980163398
973	2.977885006
974	2.974592848
975	2.972417996
976	2.971998364
977	2.971390827
978	2.970388794
979	2.970214831
980	2.969339317
981	2.9679442
982	2.965324789
983	2.964321186
984	2.961944619
985	2.960368032
986	2.958898423
987	2.957272293
988	2.955355791
989	2.954077154
990	2.952992673
991	2.951442571
992	2.950385956
993	2.94994172
994	2.948029319
995	2.946092676
996	2.942763524
997	2.942520058
998	2.941834128
999	2.93990401
